artist_id,artist_name,followers
1on7ZQ2pvgeQF4vmIA09x5,Charlie Brown Jr.,9391856.0
5NHm4TU5Twz7owibYxJfFU,King,9383524.0
2kxP07DLgs4xlWz8YHlvfh,NIKI,9372934.0
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,9372800.0
0eecdvMrqBftK0M1VKhaF4,CNCO,9366478.0
46pWGuE3dSwY3bMMXGBvVS,Rema,9361535.0
7vXDAI8JwjW531ouMGbfcp,TINI,9337869.0
6LqNN22kT3074XbTVUrhzX,Kesha,9329578.0
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,9319373.0
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,9277139.0
2FXC3k01G6Gw61bmprjgqS,Hozier,9246700.0
6LEG9Ld1aLImEFEVHdWNSB,AP Dhillon,9232553.0
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,9224887.0
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,9191633.0
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,9141486.0
6OBGbSaBUvQtk9wpQfDbOE,Kevin Kaarl,9120174.0
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,9094108.0
0jnsk9HBra6NMjO2oANoPY,Flo Rida,9079498.0
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,9046685.0
7gW0r5CkdEUMm42w9XpyZO,Laufey,9019268.0
4gdMJYnopf2nEUcanAwstx,Anuv Jain,9015588.0
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,9011004.0
2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,8974272.0
22WZ7M8sxp5THdruNY3gXt,The Doors,8971569.0
3uwAm6vQy7kWPS2bciKWx9,girl in red,8953974.0
6tbjWDEIzxoDsBA1FuhfPW,Madonna,8934428.0
3AQRLZ9PuTAozP28Skbq8V,The Script,8905222.0
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,8890011.0
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,8889896.0
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,8865157.0
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,8836950.0
3tJnB0s6c3oXPq1SCCavnd,Marco Antonio Solís,8815998.0
6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernández,8811714.0
3MHaV05u0io8fQbZ2XPtlC,Prince Royce,8809904.0
27T030eWyCQRmDyuvr1kxY,Scorpions,8791059.0
4qFxP3qN9GsnZDOkAE6x2m,December Avenue,8722256.0
4J13m9IZh03PEhoxAxRhXO,Gerardo Ortiz,8721437.0
7uDdl5V5AETSFY7K3muu22,Arthur Nery,8712164.0
3Me35AWHCGqW4sZ7bWWJt1,Xavi,8612797.0
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,8574550.0
12Chz98pHFMPJEknJQMWvI,Muse,8567655.0
5sUrlPAHlS9NEirDB8SEbF,Alejandro Sanz,8547687.0
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,8516064.0
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,8515512.0
165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,8506438.0
21451j1KhjAiaYKflxBjr1,Zion & Lennox,8494004.0
0Q8NcsJwoCbZOHHW63su5S,Mora,8448243.0
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,8424538.0
36iDrP3UnCxsSH9LuSdkDj,Masoom Sharma,8376598.0
6QtgPSJPSzcnn7dPZ4VINp,King Von,8365546.0
20sxb77xiYeusSH8cVdatc,Meek Mill,8330949.0
1gBUSTR3TyDdTVFIaQnc02,NCT DREAM,8284558.0
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,8271417.0
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,8236716.0
0GOx72r5AAEKRGQFn3xqXK,GIMS,8223990.0
57LYzLEk2LcFghVwuWbcuS,Summer Walker,8214391.0
5y2Xq6xcjJb2jVM54GHK3t,John Legend,8201256.0
6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,8149761.0
0C0XlULifJtAgn6ZNCW2eu,The Killers,8144006.0
7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,8128614.0
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,8112567.0
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,8097255.0
3mIj9lX2MWuHmhNCA7LSCW,The 1975,8092434.0
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,8080071.0
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,8072982.0
6Ghvu1VvMGScGpOUJBAHNH,Deftones,8059467.0
6deZN1bslXzeGvOLaLMOIF,Nickelback,7989687.0
3yY2gUcIsjMr8hjo51PoJ8,The Smiths,7977994.0
5a2EaR3hamoenG9rDuVn8j,Prince,7911693.0
6IdtcAwaNVAggwd6sCKgTI,Zoé,7859926.0
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,7858565.0
3hYtANQYrE6pd2PbtEyTIy,Los Tigres Del Norte,7854928.0
6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,7840301.0
4Gso3d4CscCijv0lmajZWs,Don Toliver,7824322.0
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,7821481.0
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,7819876.0
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,7806288.0
49EE6lVLgU8sp7dFgPshgM,La Adictiva,7799068.0
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,7789710.0
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,7786531.0
5NGO30tJxFlKixkPSgXcFE,The Police,7785798.0
